"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"4668","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tamuracho","Ota (Takamatsu)",60,"No_information",3555.55555555556,"Irregular Shaped",0,35,1967,"W","House","Other","West","City Road",3.3,"Category I Exclusively Medium-high Residential Zone",200,"2nd",2014,47,0,"4","1"
"4669","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",14,"No_information",255172.413793103,"Semi-square Shaped",11.5,110,2016,"LS","House","House","South","City Road",4,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2016,0,1,"4","2"
"4670","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Sanjo (Takamatsu)",15,"2LDK",215384.615384615,"No_information",0,0,2005,"RC","House","No_information","No_information","No_information",0,"Category II Residential Zone",200,"3rd",2012,7,0,"4","3"
"4671","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Nishimura","Sanbonmatsu (Kagawa)",16,"No_information",12727.2727272727,"Rectangular Shaped",13,95,1973,"W","House","No_information","West","City Road",5,"Non-divided City Planning Area",200,"4th",2008,35,0,"2","1"
"4672","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kamocho","Kamogawa",18,"No_information",109523.80952381,"Semi-rectangular Shaped",8.5,95,2019,"W","House","House","Southeast","Private Road",5.1,"Non-divided City Planning Area",200,"4th",2020,1,0,"2","1"
"4673","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Rokujocho","Motoyama (Takamatsu)",10,"No_information",147058.823529412,"Semi-square Shaped",13,110,2010,"W","House","No_information","South","Private Road",5,"Non-divided City Planning Area",200,"2nd",2010,0,1,"3","2"
"4674","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Showacho (Kagawa)",9,"1DK",133333.333333333,"No_information",0,0,1984,"RC","House","No_information","No_information","No_information",0,"Category I Exclusively Medium-high Residential Zone",200,"4th",2007,23,0,"3","2"
"4675","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Marugame",60,"No_information",56521.7391304348,"Semi-trapezoidal Shaped",10,165,1997,"W","House","House","West","City Road",4.5,"Non-divided City Planning Area",200,"1st",2019,22,0,"2","1"
"4676","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","Oaza Higashibun","Utazu",60,"No_information",120000,"Semi-square Shaped",14.5,115,2013,"W","House","No_information","Southeast","Private Road",5,"Category I Residential Zone",200,"2nd",2013,0,1,"3","1"
"4677","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Minochoomi","Mino",21,"No_information",13636.3636363636,"Semi-shaped",43,400,1978,"W","House, Parking Lot, Other","House","Southeast","City Road",4.2,"Outside City Planning Area",0,"1st",2020,42,0,"1","1"
"4678","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Muragurocho","Kan-onji (Kagawa)",60,"No_information",18367.3469387755,"Semi-shaped",13.5,95,1972,"W","House","No_information","West","City Road",3,"Non-divided City Planning Area",200,"4th",2009,37,0,"2","1"
"4679","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Ejiricho","Sakaide",60,"No_information",94117.6470588235,"Rectangular Shaped",11,120,1981,"S","House","No_information","Southwest","City Road",9,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2008,27,0,"2","1"
"4680","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Kitahigashiguchi",11,"No_information",125000,"Semi-rectangular Shaped",13.5,125,2016,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",0,"3rd",2016,0,1,"3","1"
"4681","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kumecho","Sakaide",24,"No_information",27272.7272727273,"Semi-square Shaped",13.7,80,1966,"W","House","No_information","South","City Road",3.7,"Category I Residential Zone",200,"2nd",2010,44,0,"2","1"
"4682","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shionoechoyasuharakamihigashi","Kukodori",150,"No_information",8484.84848484848,"Trapezoidal Shaped",0,45,1997,"W","House","No_information","East","Private Road",1.3,"Outside City Planning Area",0,"1st",2015,18,0,"2","1"
"4683","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachotomikuma","Kurikuma",60,"No_information",10000,"Trapezoidal Shaped",19.9,85,1995,"W","House","House","Northeast","City Road",5,"Non-divided City Planning Area",200,"2nd",2019,24,0,"2","1"
"4684","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Fuseishicho","Sanjo (Takamatsu)",11,"No_information",231250,"Rectangular Shaped",8.5,115,2015,"LS","House","House","North","Private Road",5,"Category I Exclusively Low-story Residential Zone",100,"1st",2015,0,1,"4","2"
"4685","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"3LDK",68333.3333333333,"No_information",0,0,1975,"SRC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"1st",2016,41,0,"4","1"
"4686","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"1K",93333.3333333333,"No_information",0,0,1975,"SRC","House","No_information","No_information","No_information",0,"Category II Residential Zone",200,"2nd",2009,34,0,"4","1"
